user_id,eigen_central,eigen_central_bin,avg_perplexity,n_utts,admin_status,n_content_words,n_tokens,n_types,n_function_words,divergence_articles,divergence_impersonal pronouns,divergence_quantifiers,divergence_auxiliary verbs,divergence_conjunctions,divergence_prepositions,divergence_personal pronouns,divergence_adverbs
The Ungovernable Force,0.00230442688439651,False,33972.032201466354,33,False,1245,1833,505,669,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Olpl,0.000747005338728952,False,865.8385440574649,1,False,56,84,66,33,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0
Colin,0.032178908262807074,True,9717.0575513514032,185,False,8101,12680,2442,5348,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Stickee,0.004122989956196663,False,5313.8627853214603,13,False,378,568,247,220,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Joetoril,0.0008809068088644252,False,59.301598686484603,1,False,0,0,0,0,,,,,,,,
Crocogator,9.004971850062198e-06,False,2841.0551467456612,1,False,29,48,32,22,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Mulder416,0.0013048175942037645,False,1609.3194697244433,2,False,115,163,109,56,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
E5frog,9.26834376253136e-05,False,288.6880592794322,2,False,15,24,20,12,-0.0,-0.0,,-0.0,-0.0,-0.0,,-0.0
Peterkingiron,0.010875594990538051,True,424.21025123286802,30,False,1339,2278,695,1099,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
78.55.104.206,0,False,1912.4243021099198,1,False,102,147,97,56,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CanadianFreak,2.7244877873419204e-05,False,252.66967433755335,1,False,45,66,46,25,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0
Spiridon MANOLIU,3.1582306842065025e-05,False,9945.6401557925274,1,False,4,4,4,0,,,,,,,,
JRHorse,0.0005100977770836734,False,402.12846092834798,3,False,103,167,109,73,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Blow of Light,0.0004357962193317485,False,26440.263526807259,3,False,100,118,58,19,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0
Arttoeye,0.00019147039550139656,False,59.301598686484603,2,False,0,0,0,0,,,,,,,,
Mr Spunky Toffee,0.0002830355432389155,False,288.01585072127762,1,False,14,24,21,13,-0.0,,,,-0.0,-0.0,-0.0,-0.0
Muniswede,6.63393054631782e-05,False,780.57739993740279,2,False,102,160,92,68,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
TheGreenFaerae,5.667814872591393e-05,False,255.46941063786576,2,False,150,261,125,127,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
DoverWheels,0.00015939935412459028,False,296.69607029004544,2,False,596,940,238,394,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
annoynmous,0,False,193.16521155909902,9,False,249,461,218,237,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Antmusic,6.353999990889507e-05,False,107.21767200496372,1,False,15,28,23,16,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0
Jeffqu,0.00023369311066672872,False,59.301598686484603,1,False,0,0,0,0,,,,,,,,
Impi,0.00017420714879563126,False,683.51615158742254,5,False,352,584,301,281,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
NickDupree,0.0008800573788699983,False,3280.3536126617673,22,False,1064,1542,443,540,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
StudyAndBeWise,0.0022517996058940386,False,923.10944733360952,10,False,176,266,82,102,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Tim Ivorson,0.0008582150888727058,False,99.081010199704124,2,True,27,45,37,19,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Hotfeba,2.7931562586584127e-05,False,245.34503320035583,3,False,284,458,252,207,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Alexandros,8.441387491862574e-05,False,15175.528379743937,5,False,47,72,52,29,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0
Thesilverbail,2.53460835690955e-06,False,41850.235160577853,1,False,7,10,9,3,,,,-0.0,,,-0.0,-0.0
Shire Reeve,1.353946318159711e-05,False,2146.7951107302492,2,False,28,40,30,17,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
212.56.128.186,0,False,1286.2703992268375,1,False,12,18,17,8,-0.0,,,-0.0,,-0.0,-0.0,-0.0
Turbinator,0.0007226019714058385,False,2097.1297480652202,1,False,16,21,17,10,,-0.0,,-0.0,-0.0,-0.0,,-0.0
Khavakoz,5.938958219302166e-05,False,5863.0837125264607,1,False,13,21,18,8,-0.0,-0.0,,-0.0,,-0.0,,-0.0
Switzpaw,3.1273062673413446e-05,False,2360.5810940984111,2,False,18,24,21,6,,,,-0.0,,,-0.0,-0.0
Gugganij,3.363184981364241e-05,False,37.971361581406136,1,False,4,6,6,3,,,,,-0.0,-0.0,-0.0,
Sauloviegas,9.031426357345541e-05,False,8796.1002318711617,2,False,53,86,62,38,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Kissl,0,False,1450.2761453422893,10,False,501,820,348,366,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Wireless Keyboard,0.0004532950705774739,False,116225.96011863067,4,False,178,234,111,66,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
